id,orig_id,titulo,autor,duracao,macrotemas,descritores,descricao,arquivo
1,1,A Saúde Digital — algumas reflexões,Prof. Dr. Bruno Olivatto,11:55,Saúde; Tecnologias,,Reflexão sobre saúde digital e suas implicações. Descrição editorial provisória.,audio/01-a-sade-digital-algumas-reflexes.ogg
2,2,Trabalhe menos para que todos trabalhem,Prof. Dr. Bruno Olivatto,7:43,Economia,Trabalho,"Reflexão sobre trabalho, jornada e organização econômica. Descrição editorial provisória.",audio/02-trabalhe-menos-para-que-todos-trabalhem.opus
3,3,Crise de confiabilidade da informação,Prof. Dr. Bruno Olivatto,10:15,Tecnologias; Cultura,Informação,"Reflexão sobre informação, confiança e circulação de conteúdos. Descrição editorial provisória.",audio/03-crise-de-confiabilidade-da-informao.opus
4,4,Indicação de livro com breve spoiler — Nexus,Prof. Dr. Bruno Olivatto,11:42,Cultura; Tecnologias,Leituras,Comentário e indicação de leitura da obra Nexus. Descrição editorial provisória.,audio/04-indicao-de-livro-com-breve-spoiler-nexus.opus
5,5,Byung-Chul Han — autor recomendado,Prof. Dr. Bruno Olivatto,19:13,Cultura; Educação,Leituras,Apresentação e recomendação de autor para reflexão contemporânea. Descrição editorial provisória.,audio/05-byung-chul-han-autor-recomendado.opus
6,6,Relação entre impostos e direitos sociais,Prof. Dr. Bruno Olivatto,14:36,Economia,Direitos sociais,"Reflexão sobre tributação, financiamento público e direitos sociais. Descrição editorial provisória.",audio/06-relao-entre-impostos-e-direitos-sociais.opus
7,7,Financeirização da economia,Prof. Dr. Bruno Olivatto,14:52,Economia,,Reflexão sobre financeirização e transformações econômicas contemporâneas. Descrição editorial provisória.,audio/07-financeirizao-da-economia.opus
8,8,Movimento ‘Somos 99%’,Prof. Dr. Bruno Olivatto,15:50,Economia,Sociedade; Movimentos sociais,"Reflexão sobre desigualdade, mobilização social e o lema dos 99%. Descrição editorial provisória.",audio/08-movimento-somos-99.opus
9,9,Epistemologias feministas,Prof. Dr. Bruno Olivatto,16:54,Educação; Cultura,Conhecimento,Reflexão sobre epistemologias feministas e modos de produção do conhecimento. Descrição editorial provisória.,audio/09-epistemologias-feministas.opus
10,10,Economia política das bets,Prof. Dr. Bruno Olivatto,15:40,Economia; Tecnologias,Sociedade,"Reflexão sobre apostas digitais, economia e sociedade. Descrição editorial provisória.",audio/10-economia-poltica-das-bets.opus
11,11,A ‘formação’ na era da aceleração,Prof. Dr. Bruno Olivatto,12:44,Educação; Cultura,Formação,Reflexão sobre formação humana e educação em uma sociedade marcada pela aceleração.,audio/11-a-formao-na-era-da-acelerao.mp3
12,12,Saúde mental e trabalho,Prof. Dr. Bruno Olivatto,18:10,Saúde,Trabalho; Saúde mental,"Reflexão sobre as relações entre organização do trabalho, sofrimento e saúde mental.",audio/12-sade-mental-e-trabalho.opus
13,13,A espiritualidade em tempos do digital em rede,Prof. Dr. Bruno Olivatto,17:41,Cultura; Tecnologias,Espiritualidade,"Reflexão sobre espiritualidade, experiência humana e vida conectada em redes digitais.",audio/13-a-espiritualidade-em-tempos-do-digital-em-rede.opus
14,14,A exaustão despolitizante,Prof. Dr. Bruno Olivatto,19:55,Cultura,Trabalho; Sociedade,"Reflexão sobre exaustão, cotidiano e seus possíveis efeitos sobre a participação e a vida coletiva.",audio/14-a-exausto-despolitizante.opus
15,15,A função social da economia,Prof. Dr. Bruno Olivatto,20:50,Economia,Sociedade; Direitos sociais,Reflexão sobre os fins sociais da atividade econômica e sua relação com necessidades coletivas.,audio/15-a-funo-social-da-economia.opus
16,16,Inteligência Artificial — algumas reflexões,Prof. Dr. Bruno Olivatto,16:38,Tecnologias,Inteligência Artificial; Sociedade,"Reflexão sobre inteligência artificial e suas implicações sociais, culturais e tecnológicas.",audio/16-inteligncia-artificial-algumas-reflexes.opus
17,17,O capital e sua agenda ESG,Prof. Dr. Bruno Olivatto,18:48,Economia,Sustentabilidade; ESG,"Reflexão sobre capital, sustentabilidade e a incorporação da agenda ESG pelas organizações.",audio/17-o-capital-e-sua-agenda-esg.opus
18,18,Soberania de dados e democracia,Prof. Dr. Bruno Olivatto,12:06,Tecnologias,Dados; Democracia,"Reflexão sobre controle de dados, soberania digital e suas relações com a democracia.",audio/18-soberania-de-dados-e-democracia.opus
19,19,As guerras como políticas de lucro,Prof. Dr. Bruno Olivatto,15:31,Economia,Sociedade; Geopolítica,"Reflexão sobre guerra, interesses econômicos e circuitos de acumulação e poder.",audio/19-as-guerras-como-polticas-de-lucro.opus
20,20,Currículo e percepção de mundo,Prof. Dr. Bruno Olivatto,20:32,Educação; Cultura,Currículo,"Reflexão sobre currículo, formação e os modos pelos quais construímos e interpretamos o mundo.",audio/20-currculo-e-percepo-de-mundo.ogg
21,21,A vida e a banalização do ranqueamento — isso é muito Black Mirror,Prof. Dr. Bruno Olivatto,21:32,Tecnologias; Cultura,Sociedade,"Reflexão sobre métricas, classificações e ranqueamentos incorporados à vida cotidiana digital.",audio/21-a-vida-e-a-banalizao-do-ranqueamento-isso-muito-black-mirror.opus
22,22,O incerto lugar do desejo na contemporaneidade,Prof. Dr. Bruno Olivatto,18:05,Cultura,Sociedade; Subjetividade,"Reflexão sobre desejo, subjetividade e experiência na vida contemporânea.",audio/22-o-incerto-lugar-do-desejo-na-contemporaneidade.opus
23,23,A insustentável leveza das nuvens digitais,Prof. Dr. Bruno Olivatto,22:10,Tecnologias,Sustentabilidade; Sociedade,Reflexão sobre a materialidade das infraestruturas digitais e seus efeitos sociais e ambientais.,audio/23-a-insustentvel-leveza-das-nuvens-digitais.opus
24,24,O irreal como real,Prof. Dr. Bruno Olivatto,19:54,Tecnologias; Cultura,Sociedade,"Reflexão sobre realidade, representação e mediações tecnológicas na experiência contemporânea.",audio/24-o-irreal-como-real.opus
25,25,O sistema de saúde no Brasil — algumas reflexões,Prof. Dr. Bruno Olivatto,20:00,Saúde,SUS; Políticas públicas,Reflexão sobre características e desafios do sistema de saúde brasileiro.,audio/25-o-sistema-de-sade-no-brasil-algumas-reflexes.opus
26,26,O sempre novo igual,Prof. Dr. Bruno Olivatto,17:25,Cultura; Economia,Sociedade,"Reflexão sobre novidade, repetição e permanências na vida social contemporânea.",audio/26-o-sempre-novo-igual.opus
27,27,Vida intelectual e inconformismo,Prof. Dr. Bruno Olivatto,17:58,Educação; Cultura,Conhecimento,"Reflexão sobre vida intelectual, pensamento crítico e inconformismo.",audio/27-vida-intelectual-e-inconformismo.opus
