numero,numero_original,titulo,duracao,audio,macrotemas,descritores,ano,autor
1,1,A Saúde Digital — algumas reflexões,11:55,audio/01-a-sade-digital-algumas-reflexes.ogg,Saúde | Tecnologias,,2026,Prof. Dr. Bruno Olivatto
2,2,Trabalhe menos para que todos trabalhem,7:43,audio/02-trabalhe-menos-para-que-todos-trabalhem.opus,Economia,Trabalho,2026,Prof. Dr. Bruno Olivatto
3,3,Crise de confiabilidade da informação,10:15,audio/03-crise-de-confiabilidade-da-informao.opus,Tecnologias | Cultura,Informação,2026,Prof. Dr. Bruno Olivatto
4,4,Indicação de livro com breve spoiler — Nexus,11:42,audio/04-indicao-de-livro-com-breve-spoiler-nexus.opus,Cultura | Tecnologias,Leituras,2026,Prof. Dr. Bruno Olivatto
5,5,Byung-Chul Han — autor recomendado,19:13,audio/05-byung-chul-han-autor-recomendado.opus,Cultura | Educação,Leituras,2026,Prof. Dr. Bruno Olivatto
6,6,Relação entre impostos e direitos sociais,14:36,audio/06-relao-entre-impostos-e-direitos-sociais.opus,Economia,Direitos sociais,2026,Prof. Dr. Bruno Olivatto
7,7,Financeirização da economia,14:52,audio/07-financeirizao-da-economia.opus,Economia,,2026,Prof. Dr. Bruno Olivatto
8,8,Movimento ‘Somos 99%’,15:50,audio/08-movimento-somos-99.opus,Economia,Sociedade | Movimentos sociais,2026,Prof. Dr. Bruno Olivatto
9,9,Epistemologias feministas,16:54,audio/09-epistemologias-feministas.opus,Educação | Cultura,Conhecimento,2026,Prof. Dr. Bruno Olivatto
10,10,Economia política das bets,15:40,audio/10-economia-poltica-das-bets.opus,Economia | Tecnologias,Sociedade,2026,Prof. Dr. Bruno Olivatto
11,11,A ‘formação’ na era da aceleração,12:44,audio/11-a-formao-na-era-da-acelerao.mp3,Educação | Cultura,Formação,2026,Prof. Dr. Bruno Olivatto
12,12,Saúde mental e trabalho,18:10,audio/12-sade-mental-e-trabalho.opus,Saúde,Trabalho | Saúde mental,2026,Prof. Dr. Bruno Olivatto
13,13,A espiritualidade em tempos do digital em rede,17:41,audio/13-a-espiritualidade-em-tempos-do-digital-em-rede.opus,Cultura | Tecnologias,Espiritualidade,2026,Prof. Dr. Bruno Olivatto
14,14,A exaustão despolitizante,19:55,audio/14-a-exausto-despolitizante.opus,Cultura,Trabalho | Sociedade,2026,Prof. Dr. Bruno Olivatto
15,15,A função social da economia,20:50,audio/15-a-funo-social-da-economia.opus,Economia,Sociedade | Direitos sociais,2026,Prof. Dr. Bruno Olivatto
16,16,Inteligência Artificial — algumas reflexões,16:38,audio/16-inteligncia-artificial-algumas-reflexes.opus,Tecnologias,Inteligência Artificial | Sociedade,2026,Prof. Dr. Bruno Olivatto
17,17,O capital e sua agenda ESG,18:48,audio/17-o-capital-e-sua-agenda-esg.opus,Economia,Sustentabilidade | ESG,2026,Prof. Dr. Bruno Olivatto
18,18,Soberania de dados e democracia,12:06,audio/18-soberania-de-dados-e-democracia.opus,Tecnologias,Dados | Democracia,2026,Prof. Dr. Bruno Olivatto
19,19,As guerras como políticas de lucro,15:31,audio/19-as-guerras-como-polticas-de-lucro.opus,Economia,Sociedade | Geopolítica,2026,Prof. Dr. Bruno Olivatto
20,20,Currículo e percepção de mundo,20:32,audio/20-currculo-e-percepo-de-mundo.ogg,Educação | Cultura,Currículo,2026,Prof. Dr. Bruno Olivatto
21,21,A vida e a banalização do ranqueamento — isso é muito Black Mirror,21:32,audio/21-a-vida-e-a-banalizao-do-ranqueamento-isso-muito-black-mirror.opus,Tecnologias | Cultura,Sociedade,2026,Prof. Dr. Bruno Olivatto
22,22,O incerto lugar do desejo na contemporaneidade,18:05,audio/22-o-incerto-lugar-do-desejo-na-contemporaneidade.opus,Cultura,Sociedade | Subjetividade,2026,Prof. Dr. Bruno Olivatto
23,23,A insustentável leveza das nuvens digitais,22:10,audio/23-a-insustentvel-leveza-das-nuvens-digitais.opus,Tecnologias,Sustentabilidade | Sociedade,2026,Prof. Dr. Bruno Olivatto
